"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
38a5e45f,query,57,403.709
38458817,query,17,408.564
b7d8f58c,query,55,422.441
b8a3c2c9,query,431,323.924
3713eb3c,welcome,39,23.092
39670a85,welcome,28,19.562
b9736e44,index,46,52.919
38b76bbb,query,58,340.752
b8a3c2c9,welcome,11,25.737
3896df90,query,18,486.242
38795e28,explore,22,84.474
b8edd98e,query,17,328.632
3922b349,query,108,406.272
b6c2d57d,welcome,22,24.453
39016ddb,index,5,57.239
3851d3ae,query,17,428.580
38e355b2,query,153,363.465
388e7d76,query,27,350.002
38b76bbb,index,29,78.544
35ece9ad,explore,62,76.719
382553e8,query,87,281.194
38e3c638,query,63,370.687
b86509eb,query,65,485.121
b8926399,query,135,339.008
38d104cc,,22,
b78addcd,welcome,7,37.295
38e355b2,explore,22,81.257
b9271e47,welcome,8,46.300
38e3c638,,66,
b8edd98e,query,194,347.191
390eb20a,query,30,337.419
b909de80,welcome,7,27.466
38dced53,welcome,30,35.605
b8b4d295,index,9,33.184
b8a5da4d,explore,104,145.031
b8ad877e,welcome,53,26.192
38a633a1,query,17,432.706
b85e8e45,query,37,350.024
37b54085,explore,220,115.636
388a0367,explore,80,141.370
b902c6e5,explore,248,112.662
